SITE,CONT,NO_SPECIES,NO_ORDERS,NO_FAMILIES,GlobalID,lon_bio,lat_bio,mean_HYP,mean_LOP,mean_FCT_HOD,mean_FCT_AL,mean_FCT_OL,mean_FCT_SF,mean_FCT_OT,mean_FCT_CM,NPP
97465,EU,11,2,6,97465,104.22,-2.86,1.090909091,0.6,1,0.181818182,0.363636364,0.272727273,0,0,2398.063735
97466,EU,11,2,6,97466,104.67,-2.86,1.090909091,0.6,1,0.181818182,0.363636364,0.272727273,0,0,2434.110082
97467,EU,13,2,7,97467,105.12,-2.86,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2456.5729
97468,EU,14,3,8,97468,105.57,-2.86,1.214285714,0.461538462,1.142857143,0.142857143,0.357142857,0.285714286,0.071428571,0.071428571,2468.350963
97470,EU,9,2,5,97470,106.47,-2.86,1.111111111,0.75,1,0.111111111,0.444444444,0.333333333,0,0,2383.910917
97479,EU,11,2,5,97479,110.51,-2.86,1.090909091,0.888888889,1,0.181818182,0.454545455,0.181818182,0,0,2490.470593
97480,EU,11,2,5,97480,110.96,-2.86,1.090909091,0.888888889,1,0.181818182,0.454545455,0.181818182,0,0,2557.963894
97481,EU,12,2,5,97481,111.41,-2.86,1.083333333,0.8,1,0.25,0.416666667,0.166666667,0,0,2539.692121
97482,EU,13,2,6,97482,111.86,-2.86,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2506.454246
97483,EU,13,2,6,97483,112.31,-2.86,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2482.629337
97484,EU,12,2,5,97484,112.76,-2.86,1.083333333,0.8,1,0.25,0.416666667,0.166666667,0,0,2485.711924
97485,EU,13,2,6,97485,113.21,-2.86,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2479.528273
97486,EU,12,2,6,97486,113.66,-2.86,1.083333333,0.8,1,0.166666667,0.416666667,0.166666667,0,0,2456.211944
97487,EU,11,2,5,97487,114.11,-2.86,1.090909091,0.888888889,1,0.181818182,0.454545455,0.181818182,0,0,2436.734235
97488,EU,11,2,5,97488,114.56,-2.86,1.090909091,0.888888889,1,0.181818182,0.454545455,0.181818182,0,0,2411.5008
97489,EU,11,2,5,97489,115.01,-2.86,1.090909091,0.8,1,0.181818182,0.454545455,0.181818182,0,0,2439.34622
97490,EU,13,2,6,97490,115.46,-2.86,1.076923077,0.666666667,1,0.230769231,0.384615385,0.230769231,0,0,2453.315656
97491,EU,14,2,6,97491,115.91,-2.86,1.071428571,0.615384615,1,0.285714286,0.357142857,0.214285714,0,0,2462.672613
97492,EU,12,2,5,97492,116.36,-2.86,1.083333333,0.727272727,1,0.25,0.416666667,0.166666667,0,0,2527.616305
98260,EU,15,3,8,98260,101.42,-2.41,1.2,0.571428571,1,0.2,0.333333333,0.266666667,0,0,2519.39027
98261,EU,14,3,7,98261,101.87,-2.41,1.214285714,0.461538462,1.142857143,0.142857143,0.357142857,0.285714286,0.071428571,0.071428571,2406.004605
98262,EU,12,2,6,98262,102.32,-2.41,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2574.663948
98263,EU,13,2,6,98263,102.77,-2.41,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2567.831496
98264,EU,13,2,6,98264,103.22,-2.41,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2454.765723
98265,EU,13,2,6,98265,103.67,-2.41,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2351.161678
98266,EU,12,3,7,98266,104.11,-2.41,1.25,0.545454545,1.166666667,0.166666667,0.416666667,0.25,0.083333333,0.083333333,2327.47481
98267,EU,11,2,6,98267,104.56,-2.41,1.090909091,0.6,1,0.181818182,0.363636364,0.272727273,0,0,2348.57155
98268,EU,12,2,7,98268,105.01,-2.41,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2369.843899
98269,EU,13,2,7,98269,105.46,-2.41,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2459.092888
98270,EU,9,2,5,98270,105.91,-2.41,1.111111111,0.75,1,0.111111111,0.444444444,0.333333333,0,0,2542.130794
98280,EU,11,2,5,98280,110.41,-2.41,1.090909091,0.888888889,1,0.181818182,0.454545455,0.181818182,0,0,2526.045385
98281,EU,11,2,5,98281,110.86,-2.41,1.090909091,0.888888889,1,0.181818182,0.454545455,0.181818182,0,0,2551.161306
98282,EU,13,2,6,98282,111.31,-2.41,1.076923077,0.727272727,1,0.230769231,0.384615385,0.230769231,0,0,2567.831496
98283,EU,13,2,6,98283,111.76,-2.41,1.076923077,0.727272727,1,0.230769231,0.384615385,0.230769231,0,0,2528.556357
98284,EU,13,2,6,98284,112.21,-2.41,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2517.791995
98285,EU,13,2,6,98285,112.66,-2.41,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2510.371193
98286,EU,12,2,5,98286,113.11,-2.41,1.083333333,0.8,1,0.25,0.416666667,0.166666667,0,0,2495.185231
98287,EU,13,2,6,98287,113.56,-2.41,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2467.644464
98288,EU,12,2,6,98288,114,-2.41,1.083333333,0.8,1,0.166666667,0.416666667,0.166666667,0,0,2448.209984
98289,EU,11,2,5,98289,114.45,-2.41,1.090909091,0.888888889,1,0.181818182,0.454545455,0.181818182,0,0,2411.109907
98290,EU,11,2,5,98290,114.9,-2.41,1.090909091,0.8,1,0.181818182,0.454545455,0.181818182,0,0,2363.536184
98291,EU,11,2,5,98291,115.35,-2.41,1.090909091,0.8,1,0.181818182,0.454545455,0.181818182,0,0,2379.394529
98292,EU,13,2,6,98292,115.8,-2.41,1.076923077,0.666666667,1,0.230769231,0.384615385,0.230769231,0,0,2492.833391
98293,EU,13,2,5,98293,116.25,-2.41,1.076923077,0.666666667,1,0.307692308,0.384615385,0.153846154,0,0,2518.751597
99060,EU,12,2,6,99060,100.88,-1.96,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2697.65052
99061,EU,14,2,7,99061,101.33,-1.96,1.214285714,0.615384615,1,0.142857143,0.357142857,0.285714286,0,0,2299.210492
99062,EU,14,2,7,99062,101.78,-1.96,1.214285714,0.615384615,1,0.142857143,0.357142857,0.285714286,0,0,2366.066812
99063,EU,12,2,6,99063,102.23,-1.96,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2607.500381
99064,EU,13,2,6,99064,102.68,-1.96,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2547.870986
99065,EU,14,3,7,99065,103.13,-1.96,1.214285714,0.461538462,1.142857143,0.142857143,0.357142857,0.285714286,0.071428571,0.071428571,2464.453582
99066,EU,12,2,6,99066,103.58,-1.96,1.083333333,0.545454545,1,0.166666667,0.333333333,0.333333333,0,0,2356.311079
99067,EU,13,3,7,99067,104.03,-1.96,1.076923077,0.5,1,0.230769231,0.307692308,0.307692308,0,0,2318.031433
99068,EU,11,2,6,99068,104.48,-1.96,1.090909091,0.6,1,0.181818182,0.363636364,0.272727273,0,0,2340.738962
99070,EU,9,2,5,99070,105.38,-1.96,1.111111111,0.75,1,0.111111111,0.444444444,0.333333333,0,0,2508.742924
99071,EU,9,2,5,99071,105.83,-1.96,1.111111111,0.75,1,0.111111111,0.444444444,0.333333333,0,0,2538.774274
99081,EU,13,2,6,99081,110.32,-1.96,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2564.374222
99082,EU,13,2,6,99082,110.77,-1.96,1.076923077,0.727272727,1,0.230769231,0.384615385,0.230769231,0,0,2549.369566
99083,EU,14,2,7,99083,111.22,-1.96,1.071428571,0.666666667,1,0.214285714,0.357142857,0.214285714,0,0,2558.550528
99084,EU,13,2,6,99084,111.67,-1.96,1.076923077,0.727272727,1,0.230769231,0.384615385,0.230769231,0,0,2552.648979
99085,EU,13,2,6,99085,112.12,-1.96,1.076923077,0.727272727,1,0.230769231,0.384615385,0.230769231,0,0,2545.764599
99086,EU,12,2,5,99086,112.57,-1.96,1.083333333,0.8,1,0.25,0.416666667,0.166666667,0,0,2534.466729
99087,EU,13,2,6,99087,113.02,-1.96,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2510.371193
99088,EU,12,2,5,99088,113.47,-1.96,1.083333333,0.8,1,0.25,0.416666667,0.166666667,0,0,2479.182565
99089,EU,13,2,6,99089,113.92,-1.96,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2494.178638
99090,EU,13,2,6,99090,114.37,-1.96,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2470.113111
99091,EU,12,2,6,99091,114.82,-1.96,1.083333333,0.8,1,0.166666667,0.416666667,0.166666667,0,0,2432.605081
99092,EU,12,2,5,99092,115.27,-1.96,1.083333333,0.727272727,1,0.25,0.416666667,0.166666667,0,0,2450.768753
99093,EU,14,2,6,99093,115.71,-1.96,1.071428571,0.615384615,1,0.285714286,0.357142857,0.214285714,0,0,2487.756772
99094,EU,13,2,5,99094,116.16,-1.96,1.076923077,0.666666667,1,0.307692308,0.384615385,0.153846154,0,0,2516.830479
99862,EU,14,2,7,99862,100.82,-1.51,1.214285714,0.615384615,1,0.142857143,0.357142857,0.285714286,0,0,2421.573453
99863,EU,15,3,8,99863,101.27,-1.51,1.2,0.571428571,1,0.2,0.333333333,0.266666667,0,0,2390.826228
99864,EU,14,2,7,99864,101.72,-1.51,1.214285714,0.615384615,1,0.142857143,0.357142857,0.285714286,0,0,2520.346692
99865,EU,13,2,6,99865,102.16,-1.51,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2569.835554
99866,EU,13,2,6,99866,102.61,-1.51,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2466.582954
99867,EU,15,4,8,99867,103.06,-1.51,1.2,0.428571429,1.133333333,0.2,0.333333333,0.266666667,0.066666667,0.066666667,2450.038889
99868,EU,12,2,6,99868,103.51,-1.51,1.083333333,0.545454545,1,0.166666667,0.333333333,0.333333333,0,0,2399.261599
99869,EU,12,2,6,99869,103.96,-1.51,1.083333333,0.545454545,1,0.166666667,0.333333333,0.333333333,0,0,2338.985638
99870,EU,12,2,6,99870,104.41,-1.51,1.083333333,0.545454545,1,0.166666667,0.333333333,0.333333333,0,0,2374.845032
99883,EU,14,2,6,99883,110.25,-1.51,1.071428571,0.666666667,1,0.285714286,0.357142857,0.142857143,0,0,2618.548555
99884,EU,15,2,7,99884,110.7,-1.51,1.066666667,0.615384615,1,0.266666667,0.333333333,0.2,0,0,2540.608142
99885,EU,14,2,6,99885,111.15,-1.51,1.071428571,0.666666667,1,0.285714286,0.357142857,0.214285714,0,0,2561.472042
99886,EU,15,2,7,99886,111.6,-1.51,1.066666667,0.615384615,1,0.266666667,0.333333333,0.2,0,0,2571.830319
99887,EU,15,2,7,99887,112.05,-1.51,1.066666667,0.615384615,1,0.266666667,0.333333333,0.2,0,0,2571.261332
99888,EU,13,2,6,99888,112.5,-1.51,1.076923077,0.727272727,1,0.230769231,0.384615385,0.230769231,0,0,2569.835554
99889,EU,12,2,5,99889,112.95,-1.51,1.083333333,0.8,1,0.25,0.416666667,0.166666667,0,0,2568.405035
99890,EU,12,2,5,99890,113.4,-1.51,1.083333333,0.8,1,0.25,0.416666667,0.166666667,0,0,2574.663948
99891,EU,14,2,7,99891,113.85,-1.51,1.071428571,0.666666667,1,0.214285714,0.357142857,0.214285714,0,0,2594.789142
99892,EU,13,2,6,99892,114.3,-1.51,1.076923077,0.727272727,1,0.230769231,0.384615385,0.230769231,0,0,2583.882544
99893,EU,13,2,6,99893,114.75,-1.51,1.076923077,0.727272727,1,0.230769231,0.384615385,0.153846154,0,0,2614.730316
99894,EU,13,2,5,99894,115.19,-1.51,1.076923077,0.666666667,1,0.307692308,0.384615385,0.153846154,0,0,2569.54983
99895,EU,14,2,6,99895,115.64,-1.51,1.071428571,0.615384615,1,0.285714286,0.357142857,0.214285714,0,0,2513.611558
99896,EU,14,2,6,99896,116.09,-1.51,1.071428571,0.615384615,1,0.285714286,0.357142857,0.214285714,0,0,2480.564021
99908,EU,6,2,4,99908,121.49,-1.51,1.666666667,0.8,1,0,0.333333333,0.166666667,0.333333333,0.333333333,2130.999616
99909,EU,6,2,4,99909,121.93,-1.51,1.666666667,0.8,1,0,0.333333333,0.166666667,0.333333333,0.333333333,2105.830309
100664,EU,13,2,6,100664,100.77,-1.06,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2238.057139
100665,EU,15,3,8,100665,101.22,-1.06,1.2,0.571428571,1,0.2,0.333333333,0.266666667,0,0,2467.290862
100666,EU,13,2,6,100666,101.67,-1.06,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2536.625507
100667,EU,15,4,8,100667,102.11,-1.06,1.2,0.428571429,1.133333333,0.2,0.333333333,0.266666667,0.066666667,0.066666667,2489.454599
100668,EU,14,3,7,100668,102.56,-1.06,1.071428571,0.461538462,1,0.214285714,0.285714286,0.285714286,0,0,2415.39549
100669,EU,13,2,6,100669,103.01,-1.06,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2409.151542
100670,EU,12,2,6,100670,103.46,-1.06,1.083333333,0.545454545,1,0.166666667,0.333333333,0.333333333,0,0,2389.206111
100671,EU,12,2,6,100671,103.91,-1.06,1.083333333,0.545454545,1,0.166666667,0.333333333,0.333333333,0,0,2378.569817
100672,EU,11,2,6,100672,104.36,-1.06,1.090909091,0.6,1,0.181818182,0.363636364,0.272727273,0,0,2406.398887
100685,EU,14,2,6,100685,110.2,-1.06,1.071428571,0.666666667,1,0.285714286,0.357142857,0.214285714,0,0,2619.812874
100686,EU,14,2,6,100686,110.65,-1.06,1.071428571,0.666666667,1,0.285714286,0.357142857,0.214285714,0,0,2548.471015
100687,EU,15,2,7,100687,111.1,-1.06,1.066666667,0.615384615,1,0.266666667,0.333333333,0.2,0,0,2575.792141
100688,EU,15,2,7,100688,111.55,-1.06,1.066666667,0.615384615,1,0.266666667,0.333333333,0.2,0,0,2591.547525
